Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed,GamesPerSeason
2021,Borussia Mönchengladbach,49,61,12,34,34
2021,Eintracht Frankfurt,45,49,10,34,34
2021,VfL Wolfsburg,43,54,12,34,34
2021,VfL Bochum,34,52,12,34,34
2021,FC Augsburg,39,56,10,34,34
2021,VfB Stuttgart,41,59,7,34,34
2021,Hertha Berlin,37,71,9,34,34
2021,Arminia Bielefeld,27,53,5,34,34
2021,SpVgg Greuther Fürth,28,82,3,34,34
2022,Bayern Munich,92,38,21,34,34
2022,Borussia Dortmund,83,44,22,34,34
2022,RB Leipzig,64,41,20,34,34
2022,Union Berlin,51,38,18,34,34
2022,SC Freiburg,51,44,17,34,34
2022,Bayer Leverkusen,57,49,14,34,34
2022,Eintracht Frankfurt,58,52,13,34,34
2022,VfL Wolfsburg,57,48,13,34,34
2022,1. FSV Mainz 05,54,55,12,34,34
2022,Borussia Mönchengladbach,52,61,11,34,34
2022,1. FC Köln,39,56,10,34,34
2022,1899 Hoffenheim,48,57,10,34,34
2022,Werder Bremen,51,64,10,34,34
2022,VfL Bochum,40,72,10,34,34
2022,FC Augsburg,42,62,9,34,34
2022,VfB Stuttgart,45,57,7,34,34
2022,Schalke 04,35,71,7,34,34
2022,Hertha Berlin,42,69,7,34,34
2023,Bayer Leverkusen,89,24,28,34,34
2023,VfB Stuttgart,78,39,23,34,34
2023,Bayern Munich,94,45,23,34,34
2023,RB Leipzig,77,39,19,34,34
2023,Borussia Dortmund,68,43,18,34,34
2023,Eintracht Frankfurt,51,50,11,34,34
2023,1899 Hoffenheim,66,66,13,34,34
2023,1. FC Heidenheim,50,55,10,34,34
2023,Werder Bremen,48,54,11,34,34
2023,SC Freiburg,45,58,11,34,34
2023,FC Augsburg,50,60,10,34,34
2023,VfL Wolfsburg,41,56,10,34,34
2023,1. FSV Mainz 05,39,51,7,34,34
2023,Borussia Mönchengladbach,56,67,7,34,34
2023,Union Berlin,33,58,9,34,34
2023,VfL Bochum,42,74,7,34,34
2023,1. FC Köln,28,60,5,34,34
2023,Darmstadt 98,30,86,3,34,34
