Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed
2006,San Francisco Giants,746,790,76,162
2006,Arizona Diamondbacks,773,788,76,162
2006,Colorado Rockies,813,812,76,162
2007,New York Yankees,968,777,94,162
2007,Boston Red Sox,944,806,96,162
2007,Toronto Blue Jays,753,699,83,162
2007,Baltimore Orioles,756,868,69,162
2007,Tampa Bay Rays,782,944,66,162
2007,Cleveland Guardians,811,704,96,162
2007,Detroit Tigers,887,797,88,162
2007,Minnesota Twins,718,725,79,162
2007,Chicago White Sox,693,839,72,162
2007,Kansas City Royals,706,778,69,162
2007,Los Angeles Angels,822,731,94,162
2007,Seattle Mariners,794,813,88,162
2007,Oakland Athletics,741,758,76,162
2007,Texas Rangers,816,844,75,162
2007,Philadelphia Phillies,892,821,89,162
2007,New York Mets,804,750,88,162
2007,Atlanta Braves,810,733,84,162
2007,Washington Nationals,673,783,73,162
2007,Florida Marlins,790,891,71,162
2007,Chicago Cubs,752,658,85,162
2007,Milwaukee Brewers,801,776,83,162
2007,St. Louis Cardinals,725,720,78,162
2007,Houston Astros,749,813,73,162
2007,Cincinnati Reds,783,853,72,162
2007,Pittsburgh Pirates,724,846,68,162
2007,Arizona Diamondbacks,712,732,90,162
2007,Colorado Rockies,860,758,90,162
2007,San Diego Padres,741,666,89,162
2007,Los Angeles Dodgers,735,727,82,162
2007,San Francisco Giants,683,720,71,162
2008,Tampa Bay Rays,774,671,97,162
2008,Boston Red Sox,845,694,95,162
2008,New York Yankees,789,727,89,162
2008,Toronto Blue Jays,714,610,86,162
2008,Baltimore Orioles,782,869,68,162
2008,Chicago White Sox,811,729,89,162
2008,Minnesota Twins,829,745,88,162
2008,Cleveland Guardians,805,761,81,162
2008,Detroit Tigers,821,857,74,162
2008,Kansas City Royals,691,781,75,162
2008,Los Angeles Angels,765,697,100,162
2008,Texas Rangers,901,967,79,162
2008,Oakland Athletics,646,690,75,162
2008,Seattle Mariners,671,811,61,162
2008,Philadelphia Phillies,799,680,92,162
2008,New York Mets,799,715,89,162
2008,Florida Marlins,770,767,84,162
2008,Atlanta Braves,753,778,72,162
2008,Washington Nationals,641,825,59,162
2008,Chicago Cubs,855,671,97,162
2008,Milwaukee Brewers,750,689,90,162
2008,Houston Astros,712,743,86,162
2008,St. Louis Cardinals,779,725,86,162
2008,Cincinnati Reds,704,800,74,162
2008,Pittsburgh Pirates,735,884,67,162
2008,Los Angeles Dodgers,700,648,84,162
2008,Arizona Diamondbacks,720,706,82,162
2008,Colorado Rockies,747,822,74,162
2008,San Francisco Giants,640,759,72,162
2008,San Diego Padres,637,764,63,162
2009,New York Yankees,915,753,103,162
2009,Boston Red Sox,872,736,95,162
2009,Tampa Bay Rays,803,754,84,162
2009,Toronto Blue Jays,798,771,75,162
2009,Baltimore Orioles,741,876,64,162
2009,Minnesota Twins,817,765,87,162
2009,Detroit Tigers,743,745,86,162
2009,Chicago White Sox,724,732,79,162
2009,Cleveland Guardians,773,865,65,162
2009,Kansas City Royals,686,842,65,162
2009,Los Angeles Angels,883,787,97,162
2009,Texas Rangers,784,740,87,162
2009,Seattle Mariners,640,692,85,162
2009,Oakland Athletics,759,761,75,162
2009,Philadelphia Phillies,820,709,93,162
2009,Florida Marlins,772,766,87,162
2009,Atlanta Braves,735,641,86,162
2009,New York Mets,671,757,70,162
2009,Washington Nationals,710,874,59,162
2009,St. Louis Cardinals,730,640,91,162
2009,Chicago Cubs,707,685,83,162
2009,Milwaukee Brewers,785,818,80,162
2009,Cincinnati Reds,673,723,78,162
2009,Houston Astros,643,770,74,162
2009,Pittsburgh Pirates,636,768,62,162
2009,Los Angeles Dodgers,780,611,95,162
2009,Colorado Rockies,804,715,92,162
2009,San Francisco Giants,657,611,88,162
2009,Arizona Diamondbacks,720,782,70,162
2009,San Diego Padres,638,769,75,162
2010,Tampa Bay Rays,802,649,96,162
2010,New York Yankees,859,693,95,162
2010,Boston Red Sox,818,744,89,162
2010,Toronto Blue Jays,755,728,85,162
2010,Baltimore Orioles,613,785,66,162
2010,Minnesota Twins,781,671,94,162
2010,Chicago White Sox,752,704,88,162
2010,Detroit Tigers,751,743,81,162
2010,Cleveland Guardians,646,752,69,162
2010,Kansas City Royals,676,845,67,162
2010,Texas Rangers,787,687,90,162
2010,Oakland Athletics,663,626,81,162
2010,Los Angeles Angels,681,702,80,162
2010,Seattle Mariners,513,698,61,162
2010,Philadelphia Phillies,772,640,97,162
2010,Atlanta Braves,738,629,91,162
2010,Florida Marlins,719,717,80,162
2010,New York Mets,656,652,79,162
2010,Washington Nationals,655,742,69,162
2010,Cincinnati Reds,790,685,91,162
2010,St. Louis Cardinals,736,641,86,162
2010,Milwaukee Brewers,750,804,77,162
2010,Houston Astros,611,768,76,162
2010,Chicago Cubs,685,767,75,162
2010,Pittsburgh Pirates,587,866,57,162
2010,San Francisco Giants,697,583,92,162
2010,San Diego Padres,665,581,90,162
2010,Colorado Rockies,770,718,83,162
2010,Los Angeles Dodgers,667,692,80,162
2010,Arizona Diamondbacks,713,836,65,162
2011,New York Yankees,867,657,97,162
2011,Tampa Bay Rays,707,614,91,162
2011,Boston Red Sox,875,737,90,162
2011,Toronto Blue Jays,743,761,81,162
2011,Baltimore Orioles,708,860,69,162
2011,Detroit Tigers,787,711,95,162
2011,Cleveland Guardians,704,670,80,162
2011,Chicago White Sox,654,706,79,162
2011,Kansas City Royals,730,762,71,162
2011,Minnesota Twins,619,804,63,162
2011,Texas Rangers,855,677,96,162
2011,Los Angeles Angels,667,533,86,162
2011,Oakland Athletics,645,679,74,162
2011,Seattle Mariners,556,675,67,162
2011,Philadelphia Phillies,713,529,102,162
2011,Atlanta Braves,641,605,89,162
2011,Washington Nationals,624,643,80,162
2011,New York Mets,718,742,77,162
2011,Florida Marlins,625,702,72,162
2011,Milwaukee Brewers,721,638,96,162
2011,St. Louis Cardinals,762,692,90,162
2011,Cincinnati Reds,735,720,79,162
2011,Pittsburgh Pirates,610,712,72,162
2011,Chicago Cubs,654,756,71,162
2011,Houston Astros,615,796,56,162
2011,Arizona Diamondbacks,731,662,94,162
2011,San Francisco Giants,570,578,86,162
2011,Los Angeles Dodgers,644,612,82,162
2011,Colorado Rockies,735,774,73,162
2011,San Diego Padres,593,611,71,162
2012,New York Yankees,804,668,95,162
2012,Baltimore Orioles,712,705,93,162
2012,Tampa Bay Rays,697,577,90,162
2012,Toronto Blue Jays,716,784,73,162
2012,Boston Red Sox,734,806,69,162
2012,Detroit Tigers,726,670,88,162
2012,Chicago White Sox,748,676,85,162
2012,Kansas City Royals,676,746,72,162
2012,Cleveland Guardians,667,845,68,162
2012,Minnesota Twins,701,832,66,162
2012,Oakland Athletics,713,614,94,162
2012,Texas Rangers,808,707,93,162
2012,Los Angeles Angels,767,699,89,162
2012,Seattle Mariners,619,651,75,162
2012,Washington Nationals,731,594,98,162
2012,Atlanta Braves,700,600,94,162
2012,Philadelphia Phillies,684,680,81,162
2012,New York Mets,650,709,74,162
2012,Miami Marlins,609,724,69,162
2012,Cincinnati Reds,669,588,97,162
2012,St. Louis Cardinals,765,648,88,162
2012,Milwaukee Brewers,776,733,83,162
2012,Pittsburgh Pirates,651,674,79,162
2012,Chicago Cubs,613,759,61,162
2012,Houston Astros,583,794,55,162
2012,San Francisco Giants,718,649,94,162
2012,Los Angeles Dodgers,637,597,86,162
2012,Arizona Diamondbacks,734,688,81,162
2012,San Diego Padres,651,715,76,162
2012,Colorado Rockies,758,890,64,162
2013,Boston Red Sox,853,656,97,162
2013,Tampa Bay Rays,700,590,92,162
2013,Baltimore Orioles,745,709,85,162
2013,New York Yankees,650,671,85,162
2013,Toronto Blue Jays,712,756,74,162
2013,Detroit Tigers,796,624,93,162
2013,Cleveland Guardians,662,611,92,162
2013,Kansas City Royals,648,601,86,162
2013,Minnesota Twins,614,788,66,162
2013,Chicago White Sox,598,723,63,162
2013,Oakland Athletics,767,625,96,162
2013,Texas Rangers,730,683,91,162
2013,Los Angeles Angels,733,737,78,162
2013,Seattle Mariners,624,654,71,162
2013,Houston Astros,610,848,51,162
2013,St. Louis Cardinals,783,596,97,162
2013,Pittsburgh Pirates,634,577,94,162
2013,Cincinnati Reds,698,561,90,162
2013,Milwaukee Brewers,640,687,74,162
2013,Chicago Cubs,602,689,66,162
2013,Atlanta Braves,688,548,96,162
2013,Washington Nationals,656,626,86,162
2013,New York Mets,619,684,74,162
2013,Philadelphia Phillies,610,749,73,162
2013,Miami Marlins,513,646,62,162
2013,Los Angeles Dodgers,649,528,92,162
2013,Arizona Diamondbacks,685,695,81,162
2013,San Diego Padres,618,700,76,162
2013,San Francisco Giants,629,691,76,162
2013,Colorado Rockies,706,760,74,162
2014,Los Angeles Angels,773,631,98,162
2014,Oakland Athletics,729,572,88,162
2014,Seattle Mariners,634,550,87,162
2014,Texas Rangers,637,773,67,162
2014,Houston Astros,629,701,70,162
2014,Baltimore Orioles,705,593,96,162
2014,New York Yankees,633,664,84,162
2014,Toronto Blue Jays,723,686,83,162
2014,Tampa Bay Rays,612,625,77,162
2014,Boston Red Sox,634,715,71,162
2014,Detroit Tigers,757,705,90,162
2014,Kansas City Royals,651,624,89,162
2014,Cleveland Guardians,669,653,85,162
2014,Chicago White Sox,660,682,73,162
2014,Minnesota Twins,715,777,70,162
2014,Washington Nationals,686,555,96,162
2014,Atlanta Braves,573,597,79,162
2014,New York Mets,629,618,79,162
2014,Miami Marlins,645,674,77,162
2014,Philadelphia Phillies,619,687,73,162
2014,St. Louis Cardinals,619,503,90,162
2014,Pittsburgh Pirates,682,631,88,162
2014,Milwaukee Brewers,650,639,82,162
2014,Cincinnati Reds,595,612,76,162
2014,Chicago Cubs,614,707,73,162
2014,Los Angeles Dodgers,718,617,94,162
2014,San Francisco Giants,665,563,88,162
2014,San Diego Padres,535,577,77,162
2014,Arizona Diamondbacks,615,742,64,162
2014,Colorado Rockies,755,818,66,162
2015,Toronto Blue Jays,891,670,93,162
2015,New York Yankees,764,698,87,162
2015,Baltimore Orioles,713,693,81,162
2015,Tampa Bay Rays,644,642,80,162
2015,Boston Red Sox,748,753,78,162
2015,Kansas City Royals,724,641,95,162
2015,Minnesota Twins,696,680,83,162
2015,Cleveland Guardians,669,640,81,162
2015,Chicago White Sox,622,701,76,162
2015,Detroit Tigers,689,803,74,162
2015,Texas Rangers,748,718,88,162
2015,Houston Astros,729,618,86,162
2015,Los Angeles Angels,661,658,85,162
2015,Seattle Mariners,656,637,76,162
2015,Oakland Athletics,694,729,68,162
2015,New York Mets,683,613,90,162
2015,Washington Nationals,703,635,83,162
2015,Miami Marlins,613,678,71,162
2015,Atlanta Braves,573,760,67,162
2015,Philadelphia Phillies,626,809,63,162
2015,St. Louis Cardinals,647,525,100,162
2015,Pittsburgh Pirates,697,531,98,162
2015,Chicago Cubs,689,608,97,162
2015,Milwaukee Brewers,616,707,68,162
2015,Cincinnati Reds,640,754,64,162
2015,Los Angeles Dodgers,667,595,92,162
2015,San Francisco Giants,696,627,84,162
2015,Arizona Diamondbacks,720,713,79,162
2015,San Diego Padres,650,729,74,162
2015,Colorado Rockies,737,872,68,162
2016,Boston Red Sox,878,694,93,162
2016,Toronto Blue Jays,759,666,89,162
2016,Baltimore Orioles,744,715,89,162
2016,New York Yankees,680,702,84,162
2016,Tampa Bay Rays,672,713,68,162
2016,Cleveland Guardians,777,674,94,162
2016,Detroit Tigers,750,721,86,162
2016,Kansas City Royals,675,712,81,162
2016,Chicago White Sox,686,715,78,162
2016,Minnesota Twins,722,889,59,162
2016,Texas Rangers,765,757,95,162
2016,Seattle Mariners,768,707,86,162
2016,Houston Astros,724,701,84,162
2016,Los Angeles Angels,717,727,74,162
2016,Oakland Athletics,653,761,69,162
2016,Chicago Cubs,808,556,103,162
2016,St. Louis Cardinals,779,712,86,162
2016,Pittsburgh Pirates,729,694,78,162
2016,Milwaukee Brewers,671,733,73,162
2016,Cincinnati Reds,716,854,68,162
2016,Washington Nationals,763,612,95,162
2016,New York Mets,671,617,87,162
2016,Miami Marlins,655,682,79,162
2016,Philadelphia Phillies,610,796,71,162
2016,Atlanta Braves,649,799,68,162
2016,Los Angeles Dodgers,725,638,91,162
2016,San Francisco Giants,715,578,87,162
2016,Colorado Rockies,845,786,75,162
2016,Arizona Diamondbacks,752,890,69,162
2016,San Diego Padres,686,770,68,162
2017,Cleveland Guardians,818,584,102,162
2017,Minnesota Twins,815,779,85,162
2017,Kansas City Royals,702,711,80,162
2017,Chicago White Sox,706,820,67,162
2017,Detroit Tigers,735,803,64,162
2017,Boston Red Sox,785,668,93,162
2017,New York Yankees,858,660,91,162
2017,Tampa Bay Rays,694,714,80,162
2017,Toronto Blue Jays,693,784,76,162
2017,Baltimore Orioles,743,841,75,162
2017,Houston Astros,896,560,101,162
2017,Los Angeles Angels,711,676,80,162
2017,Texas Rangers,799,793,78,162
2017,Seattle Mariners,750,777,78,162
2017,Oakland Athletics,735,786,75,162
2017,Los Angeles Dodgers,770,511,104,162
2017,Arizona Diamondbacks,812,659,93,162
2017,Colorado Rockies,824,759,87,162
2017,San Diego Padres,604,819,71,162
2017,San Francisco Giants,639,776,64,162
2017,Washington Nationals,819,621,97,162
2017,Miami Marlins,651,682,77,162
2017,Atlanta Braves,732,821,72,162
2017,New York Mets,735,735,70,162
2017,Philadelphia Phillies,584,748,66,162
2017,Chicago Cubs,822,621,92,162
2017,Milwaukee Brewers,732,697,86,162
2017,St. Louis Cardinals,761,698,83,162
2017,Pittsburgh Pirates,682,777,75,162
2017,Cincinnati Reds,753,902,68,162
2018,Boston Red Sox,876,647,108,162
2018,New York Yankees,851,669,100,162
2018,Tampa Bay Rays,716,619,90,162
2018,Toronto Blue Jays,709,769,73,162
2018,Baltimore Orioles,622,892,47,162
2018,Cleveland Guardians,818,637,91,162
2018,Minnesota Twins,738,691,78,162
2018,Detroit Tigers,643,807,64,162
2018,Chicago White Sox,656,771,62,162
2018,Kansas City Royals,636,860,58,162
2018,Houston Astros,797,534,103,162
2018,Oakland Athletics,813,674,97,162
2018,Seattle Mariners,677,711,89,162
2018,Los Angeles Angels,721,708,80,162
2018,Texas Rangers,737,773,67,162
2018,Milwaukee Brewers,754,577,96,162
2018,Chicago Cubs,761,643,95,162
2018,St. Louis Cardinals,759,691,88,162
2018,Pittsburgh Pirates,692,636,82,162
2018,Cincinnati Reds,696,821,67,162
2018,Atlanta Braves,759,655,90,162
2018,Washington Nationals,743,644,82,162
2018,Philadelphia Phillies,677,576,80,162
2018,New York Mets,676,635,77,162
2018,Miami Marlins,589,809,63,162
2018,Los Angeles Dodgers,804,569,92,162
2018,Colorado Rockies,780,725,91,162
2018,Arizona Diamondbacks,693,644,82,162
2018,San Francisco Giants,603,604,73,162
2018,San Diego Padres,617,696,66,162
2019,Houston Astros,920,640,107,162
2019,Oakland Athletics,839,761,97,162
2019,Texas Rangers,774,815,78,162
2019,Los Angeles Angels,802,805,72,162
2019,Seattle Mariners,758,884,68,162
2019,New York Yankees,943,700,103,162
2019,Tampa Bay Rays,769,648,96,162
2019,Boston Red Sox,901,828,84,162
2019,Toronto Blue Jays,731,814,67,162
2019,Baltimore Orioles,729,992,54,162
2019,Minnesota Twins,939,754,101,162
2019,Cleveland Guardians,769,646,93,162
2019,Chicago White Sox,708,832,72,162
2019,Kansas City Royals,691,860,59,162
2019,Detroit Tigers,582,906,47,162
2019,Los Angeles Dodgers,886,606,106,162
2019,Arizona Diamondbacks,813,759,85,162
2019,San Francisco Giants,678,708,77,162
2019,Colorado Rockies,835,886,71,162
2019,San Diego Padres,682,789,70,162
2019,Atlanta Braves,855,660,97,162
2019,Washington Nationals,873,724,93,162
2019,New York Mets,791,715,86,162
2019,Philadelphia Phillies,761,762,81,162
2019,Miami Marlins,615,688,57,162
2019,St. Louis Cardinals,764,634,91,162
2019,Milwaukee Brewers,769,716,89,162
2019,Chicago Cubs,814,787,84,162
2019,Cincinnati Reds,701,711,75,162
2019,Pittsburgh Pirates,758,891,69,162
2020,Los Angeles Dodgers,349,206,43,60
2020,San Diego Padres,322,269,37,60
2020,San Francisco Giants,299,269,29,60
2020,Colorado Rockies,274,284,26,60
2020,Arizona Diamondbacks,204,317,25,60
2020,Atlanta Braves,348,259,35,60
2020,Miami Marlins,254,239,31,60
2020,Philadelphia Phillies,288,304,28,60
2020,Washington Nationals,260,275,26,60
2020,New York Mets,265,271,26,60
2020,Chicago Cubs,265,234,34,60
2020,St. Louis Cardinals,247,237,30,60
2020,Milwaukee Brewers,246,233,29,60
2020,Cincinnati Reds,243,240,31,60
2020,Pittsburgh Pirates,168,317,19,60
2020,Tampa Bay Rays,288,229,40,60
2020,New York Yankees,315,268,33,60
2020,Toronto Blue Jays,270,262,32,60
2020,Baltimore Orioles,235,312,25,60
2020,Boston Red Sox,251,309,24,60
2020,Oakland Athletics,289,243,36,60
2020,Houston Astros,283,258,29,60
2020,Seattle Mariners,253,292,27,60
2020,Los Angeles Angels,230,279,26,60
2020,Texas Rangers,219,282,22,60
2020,Minnesota Twins,269,228,36,60
2020,Cleveland Guardians,231,236,35,60
2020,Chicago White Sox,296,265,35,60
2020,Kansas City Royals,218,270,26,60
2020,Detroit Tigers,206,300,23,60
2021,San Francisco Giants,804,575,107,162
2021,Los Angeles Dodgers,830,551,106,162
2021,San Diego Padres,725,633,79,162
2021,Colorado Rockies,711,846,74,162
2021,Arizona Diamondbacks,679,847,52,162
2021,Atlanta Braves,789,649,88,162
2021,Philadelphia Phillies,772,674,82,162
2021,New York Mets,700,600,77,162
2021,Miami Marlins,677,684,67,162
2021,Washington Nationals,724,819,65,162
2021,Milwaukee Brewers,738,581,95,162
2021,St. Louis Cardinals,706,608,90,162
2021,Cincinnati Reds,736,664,83,162
2021,Chicago Cubs,705,763,71,162
2021,Pittsburgh Pirates,610,786,61,162
2021,Tampa Bay Rays,786,566,100,162
2021,Boston Red Sox,829,692,92,162
2021,New York Yankees,711,561,92,162
2021,Toronto Blue Jays,846,704,91,162
2021,Baltimore Orioles,659,898,52,162
2021,Houston Astros,863,586,95,162
2021,Seattle Mariners,697,563,90,162
2021,Oakland Athletics,711,681,86,162
2021,Los Angeles Angels,728,696,77,162
2021,Texas Rangers,625,804,60,162
2021,Chicago White Sox,796,636,93,162
2021,Cleveland Guardians,719,639,80,162
2021,Detroit Tigers,651,791,77,162
2021,Kansas City Royals,721,804,74,162
2021,Minnesota Twins,728,810,73,162
2022,Los Angeles Dodgers,847,513,111,162
2022,San Diego Padres,705,627,89,162
2022,San Francisco Giants,704,632,81,162
2022,Arizona Diamondbacks,677,685,74,162
2022,Colorado Rockies,747,822,68,162
2022,Atlanta Braves,789,573,101,162
2022,New York Mets,772,622,101,162
2022,Philadelphia Phillies,747,666,87,162
2022,Miami Marlins,616,606,69,162
2022,Washington Nationals,603,847,55,162
2022,St. Louis Cardinals,772,630,93,162
2022,Milwaukee Brewers,724,593,86,162
2022,Chicago Cubs,654,710,74,162
2022,Cincinnati Reds,648,828,62,162
2022,Pittsburgh Pirates,591,754,62,162
2022,New York Yankees,807,619,99,162
2022,Toronto Blue Jays,775,679,92,162
2022,Tampa Bay Rays,666,555,86,162
2022,Baltimore Orioles,643,654,83,162
2022,Boston Red Sox,736,762,78,162
2022,Houston Astros,737,561,106,162
2022,Seattle Mariners,690,579,90,162
2022,Texas Rangers,707,743,68,162
2022,Los Angeles Angels,670,688,73,162
2022,Oakland Athletics,568,863,60,162
2022,Cleveland Guardians,698,576,92,162
2022,Chicago White Sox,697,660,81,162
2022,Minnesota Twins,689,709,78,162
2022,Kansas City Royals,635,855,65,162
2022,Detroit Tigers,557,670,66,162
2023,Atlanta Braves,947,716,104,162
2023,Los Angeles Dodgers,906,699,100,162
2023,Baltimore Orioles,807,678,101,162
2023,Tampa Bay Rays,860,665,99,162
2023,Milwaukee Brewers,728,647,92,162
2023,Minnesota Twins,778,659,87,162
2023,Philadelphia Phillies,796,715,90,162
2023,Miami Marlins,666,723,84,162
2023,Arizona Diamondbacks,746,761,84,162
2023,Chicago Cubs,819,723,83,162
2023,San Diego Padres,752,648,82,162
2023,Cincinnati Reds,783,821,82,162
2023,Texas Rangers,881,716,90,162
2023,Houston Astros,827,698,90,162
2023,Seattle Mariners,758,659,88,162
2023,Toronto Blue Jays,746,671,89,162
2023,New York Yankees,673,698,82,162
2023,Boston Red Sox,772,776,78,162
2023,Detroit Tigers,661,740,78,162
2023,Cleveland Guardians,662,697,76,162
2023,San Francisco Giants,674,719,79,162
2023,New York Mets,717,731,75,162
2023,St. Louis Cardinals,719,829,71,162
2023,Washington Nationals,700,845,71,162
2023,Pittsburgh Pirates,692,790,76,162
2023,Los Angeles Angels,739,829,73,162
2023,Kansas City Royals,676,859,56,162
2023,Colorado Rockies,721,957,59,162
2023,Chicago White Sox,641,841,61,162
2023,Oakland Athletics,585,924,50,162
2024,New York Yankees,814,669,94,162
2024,Baltimore Orioles,786,704,91,162
2024,Boston Red Sox,763,717,81,162
2024,Tampa Bay Rays,637,621,80,162
2024,Toronto Blue Jays,674,706,74,162
2024,Cleveland Guardians,706,582,92,162
2024,Kansas City Royals,726,633,86,162
2024,Detroit Tigers,640,632,86,162
2024,Minnesota Twins,724,671,82,162
2024,Chicago White Sox,457,816,41,162
2024,Houston Astros,738,618,88,162
2024,Seattle Mariners,663,591,85,162
2024,Texas Rangers,685,675,78,162
2024,Oakland Athletics,611,753,69,162
2024,Los Angeles Angels,631,773,63,162
2024,Los Angeles Dodgers,842,647,98,162
2024,San Diego Padres,768,663,93,162
2024,Arizona Diamondbacks,851,748,89,162
2024,San Francisco Giants,700,698,80,162
2024,Colorado Rockies,677,983,61,162
2024,Philadelphia Phillies,781,689,95,162
2024,New York Mets,759,661,89,162
2024,Atlanta Braves,692,600,89,162
2024,Washington Nationals,658,757,71,162
2024,Miami Marlins,591,876,62,162
2024,Milwaukee Brewers,739,628,93,162
2024,Chicago Cubs,716,692,83,162
2024,St. Louis Cardinals,672,715,83,162
2024,Cincinnati Reds,697,720,77,162
2024,Pittsburgh Pirates,670,762,76,162
