Season,Team,PointsFor,PointsAgainst,Wins,GamesPlayed,GamesPerSeason
2013,Twente,67,36,17,34,34
2013,PSV Eindhoven,71,41,18,34,34
2013,Heerenveen,55,49,16,34,34
2013,Vitesse,54,45,15,34,34
2013,Groningen,52,53,14,34,34
2013,AZ Alkmaar,47,43,15,34,34
2013,ADO Den Haag,44,52,12,34,34
2013,Utrecht,41,52,11,34,34
2013,PEC Zwolle,42,52,11,34,34
2013,SC Cambuur,42,50,10,34,34
2013,Go Ahead Eagles,39,53,10,34,34
2013,Heracles Almelo,41,59,10,34,34
2013,NAC Breda,35,51,9,34,34
2013,RKC Waalwijk,36,57,7,34,34
2013,NEC Nijmegen,35,54,7,34,34
2013,Roda JC,38,62,7,34,34
2014,PSV Eindhoven,92,31,29,34,34
2014,Ajax,78,31,21,34,34
2014,AZ Alkmaar,52,42,19,34,34
2014,Feyenoord,56,46,17,34,34
2014,Vitesse,68,49,16,34,34
2014,PEC Zwolle,51,54,16,34,34
2014,Heerenveen,45,45,13,34,34
2014,Groningen,47,49,11,34,34
2014,Willem II,40,48,13,34,34
2014,Twente,45,48,12,34,34
2014,Utrecht,49,57,11,34,34
2014,SC Cambuur,34,41,11,34,34
2014,ADO Den Haag,37,53,9,34,34
2014,Heracles Almelo,39,56,11,34,34
2014,Excelsior,30,54,6,34,34
2014,NAC Breda,36,64,9,34,34
2014,Go Ahead Eagles,28,58,6,34,34
2014,Dordrecht,28,66,4,34,34
2015,PSV Eindhoven,88,32,26,34,34
2015,Ajax,81,29,25,34,34
2015,Feyenoord,83,40,19,34,34
2015,AZ Alkmaar,70,53,18,34,34
2015,Utrecht,58,50,15,34,34
2015,Heracles Almelo,57,57,14,34,34
2015,Groningen,50,50,14,34,34
2015,PEC Zwolle,46,48,14,34,34
2015,Vitesse,52,50,12,34,34
2015,NEC Nijmegen,37,42,13,34,34
2015,ADO Den Haag,37,47,10,34,34
2015,Heerenveen,44,50,11,34,34
2015,Twente,41,52,12,34,34
2015,Roda JC,33,52,8,34,34
2015,Excelsior,37,57,7,34,34
2015,Willem II,35,53,6,34,34
2015,De Graafschap,28,56,5,34,34
2015,SC Cambuur,33,61,6,34,34
2016,Feyenoord,86,25,26,34,34
2016,Ajax,79,23,25,34,34
2016,PSV Eindhoven,74,29,22,34,34
2016,Utrecht,58,42,18,34,34
2016,Vitesse,51,29,18,34,34
2016,AZ Alkmaar,56,42,15,34,34
2016,Twente,50,43,15,34,34
2016,Groningen,51,46,12,34,34
2016,Heerenveen,52,53,12,34,34
2016,Heracles Almelo,50,48,12,34,34
2016,ADO Den Haag,40,52,11,34,34
2016,Excelsior,43,54,9,34,34
2016,Willem II,31,48,9,34,34
2016,PEC Zwolle,39,67,9,34,34
2016,Sparta Rotterdam,37,49,9,34,34
2016,NEC Nijmegen,32,44,8,34,34
2016,Roda JC,26,49,7,34,34
2016,Go Ahead Eagles,30,62,6,34,34
2017,PSV Eindhoven,87,29,26,34,34
2017,Ajax,89,33,25,34,34
2017,AZ Alkmaar,73,47,22,34,34
2017,Feyenoord,68,40,20,34,34
2017,Utrecht,51,41,14,34,34
2017,Vitesse,55,38,14,34,34
2017,ADO Den Haag,52,52,13,34,34
2017,Heerenveen,47,49,12,34,34
2017,PEC Zwolle,42,49,12,34,34
2017,Heracles Almelo,40,45,11,34,34
2017,Excelsior,37,54,11,34,34
2017,Groningen,43,51,10,34,34
2017,Willem II,37,50,10,34,34
2017,NAC Breda,36,60,9,34,34
2017,Sparta Rotterdam,34,49,8,34,34
2017,VVV-Venlo,35,54,7,34,34
2017,Roda JC,33,55,8,34,34
2017,Twente,37,59,6,34,34
2018,Ajax,119,32,28,34,34
2018,PSV Eindhoven,98,26,26,34,34
2018,Feyenoord,70,50,20,34,34
2018,AZ Alkmaar,64,34,17,34,34
2018,Vitesse,54,38,14,34,34
2018,Utrecht,60,45,15,34,34
2018,Heracles Almelo,59,51,15,34,34
2018,Groningen,42,38,13,34,34
2018,ADO Den Haag,51,60,12,34,34
2018,Willem II,56,59,13,34,34
2018,Heerenveen,57,65,10,34,34
2018,VVV-Venlo,37,51,10,34,34
2018,PEC Zwolle,42,52,11,34,34
2018,FC Emmen,38,59,9,34,34
2018,Fortuna Sittard,44,60,9,34,34
2018,Excelsior,37,70,7,34,34
2018,De Graafschap,35,75,8,34,34
2018,NAC Breda,29,61,5,34,34
2019,Ajax,68,23,18,25,25
2019,AZ Alkmaar,54,17,18,25,25
2019,PSV Eindhoven,54,28,14,26,26
2019,Feyenoord,50,34,14,25,25
2019,Willem II,40,32,13,26,26
2019,Utrecht,38,31,12,25,25
2019,Vitesse,35,27,12,26,26
2019,Heracles Almelo,34,34,10,26,26
2019,Groningen,26,21,10,26,26
2019,ADO Den Haag,30,45,8,26,26
2019,Heerenveen,37,45,8,26,26
2019,PEC Zwolle,33,48,7,26,26
2019,VVV-Venlo,24,51,6,26,26
2019,FC Emmen,25,42,6,26,26
2019,Fortuna Sittard,28,47,6,26,26
2019,Sparta Rotterdam,24,34,6,26,26
2019,Twente,34,46,6,26,26
2019,RKC Waalwijk,17,41,4,26,26
2020,Ajax,102,23,28,34,34
2020,PSV Eindhoven,80,40,21,34,34
2020,AZ Alkmaar,75,41,21,34,34
2020,Vitesse,52,38,18,34,34
2020,Feyenoord,63,49,16,34,34
2020,Utrecht,49,43,13,34,34
2020,Groningen,43,44,14,34,34
2020,Sparta Rotterdam,49,48,13,34,34
2020,Heracles Almelo,46,55,12,34,34
2020,Twente,49,58,10,34,34
2020,Fortuna Sittard,44,53,12,34,34
2020,Heerenveen,43,49,9,34,34
2020,PEC Zwolle,39,48,9,34,34
2020,Willem II,37,69,8,34,34
2020,RKC Waalwijk,34,65,7,34,34
2020,FC Emmen,31,62,7,34,34
2020,VVV-Venlo,43,91,6,34,34
2020,ADO Den Haag,30,74,4,34,34
2021,Ajax,98,19,26,34,34
2021,PSV Eindhoven,86,42,26,34,34
2021,Feyenoord,84,41,22,34,34
2021,Twente,55,37,20,34,34
2021,AZ Alkmaar,64,44,18,34,34
2021,Vitesse,42,39,15,34,34
2021,Utrecht,51,46,12,34,34
2021,Heerenveen,37,47,11,34,34
2021,SC Cambuur,53,70,11,34,34
2021,RKC Waalwijk,38,49,9,34,34
2021,NEC Nijmegen,38,51,10,34,34
2021,Groningen,40,45,9,34,34
2021,Go Ahead Eagles,33,49,10,34,34
2021,Sparta Rotterdam,28,45,8,34,34
2021,Fortuna Sittard,36,67,10,34,34
2021,Heracles Almelo,33,49,9,34,34
2021,Willem II,34,64,9,34,34
2021,PEC Zwolle,26,51,7,34,34
2022,Feyenoord,81,30,25,34,34
2022,PSV Eindhoven,89,40,23,34,34
2022,Ajax,85,35,20,34,34
2022,AZ Alkmaar,68,35,18,34,34
2022,Twente,66,27,18,34,34
2022,Sparta Rotterdam,50,43,14,34,34
2022,Utrecht,55,50,15,34,34
2022,Heerenveen,44,47,12,34,34
2022,RKC Waalwijk,44,51,11,34,34
2022,Vitesse,45,45,10,34,34
2022,Go Ahead Eagles,38,46,10,34,34
2022,NEC Nijmegen,40,45,8,34,34
2022,Fortuna Sittard,39,52,10,34,34
2022,FC Volendam,42,71,10,34,34
2022,Excelsior,38,65,9,34,34
2022,FC Emmen,31,46,7,34,34
2022,SC Cambuur,26,56,5,34,34
2022,Groningen,31,56,4,34,34
2023,PSV Eindhoven,111,21,29,34,34
2023,Feyenoord,92,26,26,34,34
2023,Twente,66,27,21,34,34
2023,AZ Alkmaar,70,39,19,34,34
2023,Ajax,74,54,15,34,34
2023,NEC Nijmegen,55,48,14,34,34
2023,Utrecht,49,47,13,34,34
2023,Sparta Rotterdam,49,48,14,34,34
2023,Go Ahead Eagles,41,37,12,34,34
2023,Fortuna Sittard,39,53,9,34,34
2023,Heerenveen,53,60,10,34,34
2023,PEC Zwolle,42,54,9,34,34
2023,Almere City FC,33,58,7,34,34
2023,RKC Waalwijk,38,56,7,34,34
2023,Heracles Almelo,37,61,9,34,34
2023,Excelsior,43,71,6,34,34
2023,FC Volendam,33,74,4,34,34
2023,Vitesse,29,59,6,34,34
